Nature of charges,Details
Penalty Interest for delayed payments,Nil
Foreclosure fee,Nil
Bouncing charges applicable on non-servicing of Interest on or before due date,Nil
Charges incurred in filing legal suit in case of loan default,At actual (if applicable)
Professional charges (Lawyer Charges) in case of loan default,At actual (if applicable)
Non Maintenance of Mode of Payment charges (NMMP),Rs 800 (if applicable)
